addressType,status,entity,address,suitOrAppartment,city,postalcode,country,date
Court,Active,082368377-X,5 Macpherson Trail,305,Jackson,39204,United States,2019-10-13
Lane,Active,178170867-3,39 Lillian Way,7298,Great Neck,11024,United States,2019-09-25
Hill,Active,151001693-7,75 Pawling Plaza,30,Pinellas Park,34665,United States,2019-08-20
Avenue,Inactive,818433576-8,54 Graedel Terrace,7,Greensboro,27499,United States,2019-07-27
Alley,Inactive,426176565-9,906 Hauk Drive,96,Phoenix,85010,United States,2019-07-15
Avenue,Active,835834252-7,88 Monica Parkway,4,Portland,97271,United States,2019-07-13
Way,Active,392184012-0,8 Lien Avenue,46,Atlanta,30316,United States,2019-07-09
Trail,Inactive,327337152-8,944 Alpine Avenue,5619,Memphis,38150,United States,2019-07-07
Junction,Active,460515449-3,57554 Boyd Place,335,Santa Anita,38900,Mexico,2019-06-19
Terrace,Inactive,602081545-5,022 Veith Way,699,Lavaltrie,J5T,Canada,2019-06-16
Drive,Active,478794127-5,71572 Monica Point,7004,Vista Hermosa,47670,Mexico,2019-06-10
Lane,Inactive,106687034-9,940 Kenwood Trail,71,San Jose,95643,Mexico,2019-05-15
Way,Inactive,359765307-3,697 Oak Valley Pass,42355,Cincinnati,45999,United States,2019-04-24
Lane,Active,499250041-2,4 Old Shore Lane,0,Cuauhtemoc,62767,Mexico,2019-04-15
Parkway,Inactive,243079186-2,3 Hazelcrest Pass,52,Las Vegas,89178,United States,2019-03-12
Parkway,Inactive,420643232-5,99675 Dexter Parkway,76,Dallas,75210,United States,2019-03-08
Avenue,Active,048703704-9,87 Reinke Alley,5,Miami,33190,United States,2019-03-07
Junction,Active,585366429-8,608 Sage Junction,2,Côte-Saint-Luc,H7V,Canada,2019-02-28
Parkway,Active,149605607-8,70 Northland Terrace,1577,Sainte-Thérèse,J7G,Canada,2019-02-02
Court,Active,054050416-5,96 Pierstorff Street,9,Pasadena,91103,United States,2018-12-29
Street,Inactive,093102020-4,05 Nevada Parkway,4164,La Guadalupe,95600,Mexico,2018-12-27
Center,Active,724944239-2,60 Havey Trail,16805,Nelson,V1L,Canada,2018-12-22
Point,Active,926314923-2,860 Butternut Point,6707,Benito Juarez,86403,Mexico,2018-12-16
Circle,Inactive,219009866-1,7324 Ridgeview Pass,0,Vicente Guerrero,92440,Mexico,2018-12-08
Street,Active,368981758-7,5 Longview Park,33440,Benito Juarez,66410,Mexico,2018-12-06
Trail,Active,169910700-9,1081 Mallard Center,6958,Baton Rouge,70836,United States,2018-11-19
Junction,Inactive,948006699-8,8809 Mcguire Parkway,600,San Diego,92110,United States,2018-11-09
Park,Inactive,777477774-1,345 Nobel Point,6,Rafael Hernandez Ochoa,93995,Mexico,2018-11-06
Lane,Active,939024167-7,8 7th Avenue,699,Des Moines,50362,United States,2018-11-05
Hill,Active,130882460-2,561 Delaware Drive,5406,Pictou,M1M,Canada,2018-10-27
Junction,Active,238217313-0,813 Veith Way,49278,Los Angeles,90055,United States,2018-10-16
Lane,Inactive,867594474-8,49 Bayside Parkway,241,Philadelphia,19146,United States,2018-10-09
Point,Active,417103532-5,985 Ruskin Avenue,0,Philadelphia,19104,United States,2018-10-01
Court,Inactive,471432765-8,242 Lawn Avenue,45232,Colorado Springs,80935,United States,2018-09-06
Crossing,Active,860700257-0,3 Moulton Terrace,9462,Obrera,32050,Mexico,2018-09-04
Terrace,Inactive,975539097-9,0244 Farmco Pass,95,Atikokan,K1Y,Canada,2018-09-03
Circle,Active,540841294-6,90056 Ilene Circle,778,Baton Rouge,70826,United States,2018-08-17
Center,Active,242215982-6,1275 Tomscot Hill,93,Kamloops,H9P,Canada,2018-07-27
Crossing,Inactive,190821431-7,016 Utah Parkway,85,Corpus Christi,78405,United States,2018-07-23
